IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
54.214.183.4,8080,80,false,ORD,North America,US,Chicago,220,0.00
54.214.183.4,8880,80,false,ORD,North America,US,Chicago,217,0.00
54.214.183.4,80,80,false,ORD,North America,US,Chicago,225,0.00
35.95.70.247,8443,80,false,ORD,North America,US,Chicago,219,0.00
35.95.70.247,2083,80,false,ORD,North America,US,Chicago,218,0.00
35.95.70.247,443,80,false,ORD,North America,US,Chicago,218,0.00
35.95.70.247,2087,80,false,ORD,North America,US,Chicago,218,0.00
35.95.70.247,8880,80,false,ORD,North America,US,Chicago,223,0.00
35.95.70.247,2052,80,false,ORD,North America,US,Chicago,218,0.00
35.95.70.247,2096,80,false,ORD,North America,US,Chicago,249,0.00
35.95.70.247,2082,80,false,ORD,North America,US,Chicago,217,0.00
35.95.70.247,2095,80,false,ORD,North America,US,Chicago,240,0.00
54.255.135.20,443,443,true,SIN,Asia Pacific,SG,Singapore,29,0.00
13.215.211.239,8080,80,false,SIN,Asia Pacific,SG,Singapore,42,0.00
52.76.182.63,2096,80,false,SIN,Asia Pacific,SG,Singapore,46,0.00
54.150.75.95,2087,80,false,NRT,Asia Pacific,JP,Tokyo,67,0.00
54.150.75.95,2052,80,false,NRT,Asia Pacific,JP,Tokyo,74,0.00
54.150.160.166,2083,80,false,NRT,Asia Pacific,JP,Tokyo,75,0.00
54.150.160.166,2086,80,false,NRT,Asia Pacific,JP,Tokyo,77,0.00
54.150.160.166,2053,80,false,NRT,Asia Pacific,JP,Tokyo,78,0.00
54.150.75.95,2082,80,false,NRT,Asia Pacific,JP,Tokyo,82,0.00
54.251.118.130,2082,80,false,SIN,Asia Pacific,SG,Singapore,85,0.00
54.150.160.166,2087,80,false,NRT,Asia Pacific,JP,Tokyo,87,0.00
54.150.160.166,2096,80,false,NRT,Asia Pacific,JP,Tokyo,88,0.00
54.150.160.166,2082,80,false,NRT,Asia Pacific,JP,Tokyo,91,0.00
54.150.75.95,2096,80,false,NRT,Asia Pacific,JP,Tokyo,92,0.00
54.150.160.166,2095,80,false,NRT,Asia Pacific,JP,Tokyo,93,0.00
54.251.118.130,2083,80,false,SIN,Asia Pacific,SG,Singapore,97,0.00
54.251.118.130,2096,80,false,SIN,Asia Pacific,SG,Singapore,99,0.00
54.251.118.130,2053,80,false,SIN,Asia Pacific,SG,Singapore,99,0.00
54.150.75.95,2083,80,false,NRT,Asia Pacific,JP,Tokyo,99,0.00
65.0.144.242,2087,80,false,BOM,Asia Pacific,IN,Mumbai,100,0.00
54.79.197.209,2086,80,false,SYD,Oceania,AU,Sydney,100,0.00
65.1.148.157,80,80,false,BOM,Asia Pacific,IN,Mumbai,100,0.00
52.65.52.144,2083,80,false,SYD,Oceania,AU,Sydney,101,0.00
96.0.147.177,80,80,false,MNL,Asia Pacific,PH,Manila,102,0.00
13.211.0.227,2052,80,false,SYD,Oceania,AU,Sydney,103,0.00
54.199.11.181,2052,80,false,NRT,Asia Pacific,JP,Tokyo,104,0.00
52.65.52.144,2087,80,false,SYD,Oceania,AU,Sydney,104,0.00
54.252.91.41,2052,80,false,SYD,Oceania,AU,Sydney,104,0.00
13.237.94.188,2087,80,false,SYD,Oceania,AU,Sydney,105,0.00
13.237.94.188,2053,80,false,SYD,Oceania,AU,Sydney,105,0.00
54.251.118.130,2095,80,false,SIN,Asia Pacific,SG,Singapore,108,0.00
13.215.80.221,2082,80,false,SIN,Asia Pacific,SG,Singapore,109,0.00
13.211.0.227,2087,80,false,SYD,Oceania,AU,Sydney,110,0.00
54.79.190.249,2052,80,false,SYD,Oceania,AU,Sydney,112,0.00
35.78.28.183,2096,80,false,NRT,Asia Pacific,JP,Tokyo,112,0.00
52.76.182.63,2095,80,false,SIN,Asia Pacific,SG,Singapore,113,0.00
52.65.99.165,2086,80,false,SYD,Oceania,AU,Sydney,113,0.00
52.76.182.63,2086,80,false,SIN,Asia Pacific,SG,Singapore,113,0.00
52.76.182.63,2052,80,false,SIN,Asia Pacific,SG,Singapore,114,0.00
13.54.173.154,2052,80,false,SYD,Oceania,AU,Sydney,114,0.00
52.65.52.144,2052,80,false,SYD,Oceania,AU,Sydney,115,0.00
54.254.190.97,2096,80,false,SIN,Asia Pacific,SG,Singapore,116,0.00
13.211.0.227,2083,80,false,SYD,Oceania,AU,Sydney,116,0.00
54.79.190.249,2083,80,false,SYD,Oceania,AU,Sydney,116,0.00
13.215.80.221,2083,80,false,SIN,Asia Pacific,SG,Singapore,118,0.00
13.211.0.227,2095,80,false,SYD,Oceania,AU,Sydney,119,0.00
54.79.129.232,2052,80,false,SYD,Oceania,AU,Sydney,119,0.00
54.66.80.167,2083,80,false,SYD,Oceania,AU,Sydney,119,0.00
54.254.190.97,2086,80,false,SIN,Asia Pacific,SG,Singapore,120,0.00
54.79.190.249,2082,80,false,SYD,Oceania,AU,Sydney,120,0.00
43.204.208.173,80,80,false,BOM,Asia Pacific,IN,Mumbai,120,0.00
54.251.118.130,2086,80,false,SIN,Asia Pacific,SG,Singapore,120,0.00
13.211.0.227,2053,80,false,SYD,Oceania,AU,Sydney,120,0.00
54.79.197.209,2052,80,false,SYD,Oceania,AU,Sydney,121,0.00
13.55.59.224,2086,80,false,SYD,Oceania,AU,Sydney,122,0.00
13.54.173.154,2086,80,false,SYD,Oceania,AU,Sydney,122,0.00
96.0.147.177,443,80,false,MNL,Asia Pacific,PH,Manila,125,0.00
13.237.94.188,2095,80,false,SYD,Oceania,AU,Sydney,129,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,KR,Seoul,129,0.00
13.237.94.188,2086,80,false,SYD,Oceania,AU,Sydney,129,0.00
54.79.190.249,2087,80,false,SYD,Oceania,AU,Sydney,129,0.00
52.76.182.63,2087,80,false,SIN,Asia Pacific,SG,Singapore,130,0.00
13.237.94.188,2083,80,false,SYD,Oceania,AU,Sydney,131,0.00
13.215.80.221,2095,80,false,SIN,Asia Pacific,SG,Singapore,131,0.00
54.254.190.97,2053,80,false,SIN,Asia Pacific,SG,Singapore,132,0.00
54.251.118.130,2087,80,false,SIN,Asia Pacific,SG,Singapore,136,0.00
13.237.94.188,2082,80,false,SYD,Oceania,AU,Sydney,136,0.00
13.237.94.188,2052,80,false,SYD,Oceania,AU,Sydney,138,0.00
52.65.99.165,2095,80,false,SYD,Oceania,AU,Sydney,138,0.00
54.79.129.232,2086,80,false,SYD,Oceania,AU,Sydney,138,0.00
13.54.173.154,2095,80,false,SYD,Oceania,AU,Sydney,139,0.00
13.55.59.224,2096,80,false,SYD,Oceania,AU,Sydney,139,0.00
54.254.190.97,2082,80,false,SIN,Asia Pacific,SG,Singapore,139,0.00
54.79.197.209,2082,80,false,SYD,Oceania,AU,Sydney,139,0.00
52.62.216.87,2096,80,false,SYD,Oceania,AU,Sydney,140,0.00
54.251.118.130,2052,80,false,SIN,Asia Pacific,SG,Singapore,140,0.00
13.215.80.221,2086,80,false,SIN,Asia Pacific,SG,Singapore,141,0.00
54.150.75.95,2053,80,false,NRT,Asia Pacific,JP,Tokyo,141,0.00
52.65.52.144,2053,80,false,SYD,Oceania,AU,Sydney,141,0.00
35.78.28.183,2083,80,false,NRT,Asia Pacific,JP,Tokyo,141,0.00
54.79.197.209,2095,80,false,SYD,Oceania,AU,Sydney,143,0.00
54.66.80.167,2053,80,false,SYD,Oceania,AU,Sydney,143,0.00
54.79.129.232,2053,80,false,SYD,Oceania,AU,Sydney,143,0.00
52.76.182.63,2053,80,false,SIN,Asia Pacific,SG,Singapore,144,0.00
52.64.153.64,2083,80,false,SYD,Oceania,AU,Sydney,144,0.00
13.55.59.224,2052,80,false,SYD,Oceania,AU,Sydney,146,0.00
52.65.52.144,2086,80,false,SYD,Oceania,AU,Sydney,147,0.00
54.79.190.249,2095,80,false,SYD,Oceania,AU,Sydney,147,0.00
13.55.59.224,2095,80,false,SYD,Oceania,AU,Sydney,148,0.00
54.66.80.167,2087,80,false,SYD,Oceania,AU,Sydney,149,0.00
54.79.190.249,2096,80,false,SYD,Oceania,AU,Sydney,150,0.00
54.150.75.95,2086,80,false,NRT,Asia Pacific,JP,Tokyo,151,0.00
13.54.173.154,2053,80,false,SYD,Oceania,AU,Sydney,152,0.00
13.54.173.154,2082,80,false,SYD,Oceania,AU,Sydney,152,0.00
54.79.129.232,2082,80,false,SYD,Oceania,AU,Sydney,153,0.00
54.179.172.158,8080,80,false,SIN,Asia Pacific,SG,Singapore,154,0.00
52.76.182.63,2082,80,false,SIN,Asia Pacific,SG,Singapore,157,0.00
13.54.173.154,2096,80,false,SYD,Oceania,AU,Sydney,160,0.00
13.55.59.224,2053,80,false,SYD,Oceania,AU,Sydney,160,0.00
13.37.111.184,443,443,true,CDG,Europe,FR,Paris,162,0.00
54.66.80.167,2095,80,false,SYD,Oceania,AU,Sydney,163,0.00
13.211.0.227,2086,80,false,SYD,Oceania,AU,Sydney,163,0.00
52.65.52.144,2095,80,false,SYD,Oceania,AU,Sydney,163,0.00
54.150.195.218,80,80,false,NRT,Asia Pacific,JP,Tokyo,163,0.00
52.65.52.144,2082,80,false,SYD,Oceania,AU,Sydney,164,0.00
99.80.238.19,2052,80,false,LHR,Europe,GB,London,165,0.00
13.211.0.227,2082,80,false,SYD,Oceania,AU,Sydney,166,0.00
13.55.59.224,2087,80,false,SYD,Oceania,AU,Sydney,167,0.00
13.237.223.44,2052,80,false,SYD,Oceania,AU,Sydney,167,0.00
52.47.134.23,80,80,false,CDG,Europe,FR,Paris,167,0.00
54.216.89.4,2053,80,false,LHR,Europe,GB,London,168,0.00
52.62.216.87,2087,80,false,SYD,Oceania,AU,Sydney,168,0.00
35.78.28.183,2087,80,false,NRT,Asia Pacific,JP,Tokyo,168,0.00
13.36.229.177,443,443,true,AMS,Europe,NL,Amsterdam,169,0.00
99.80.238.19,2096,80,false,LHR,Europe,GB,London,169,0.00
13.236.104.165,2086,80,false,SYD,Oceania,AU,Sydney,169,0.00
52.65.99.165,2082,80,false,SYD,Oceania,AU,Sydney,169,0.00
13.236.104.165,2083,80,false,SYD,Oceania,AU,Sydney,169,0.00
52.18.205.36,2053,80,false,LHR,Europe,GB,London,169,0.00
52.18.205.36,2086,80,false,LHR,Europe,GB,London,170,0.00
54.66.80.167,2086,80,false,SYD,Oceania,AU,Sydney,170,0.00
52.65.99.165,2083,80,false,SYD,Oceania,AU,Sydney,170,0.00
54.155.155.196,2082,80,false,DUB,Europe,IE,Dublin,171,0.00
52.18.205.36,2087,80,false,LHR,Europe,GB,London,171,0.00
52.65.99.165,2096,80,false,SYD,Oceania,AU,Sydney,172,0.00
3.68.31.54,80,80,false,FRA,Europe,DE,Frankfurt,173,0.00
54.66.80.167,2052,80,false,SYD,Oceania,AU,Sydney,173,0.00
13.215.80.221,2096,80,false,SIN,Asia Pacific,SG,Singapore,173,0.00
54.150.160.166,2052,80,false,NRT,Asia Pacific,JP,Tokyo,173,0.00
99.80.238.19,2086,80,false,LHR,Europe,GB,London,173,0.00
3.10.140.111,80,80,false,LHR,Europe,GB,London,174,0.00
35.78.28.183,2052,80,false,NRT,Asia Pacific,JP,Tokyo,174,0.00
54.79.129.232,2087,80,false,SYD,Oceania,AU,Sydney,174,0.00
54.79.129.232,2083,80,false,SYD,Oceania,AU,Sydney,174,0.00
13.236.104.165,2087,80,false,SYD,Oceania,AU,Sydney,176,0.00
52.76.182.63,2083,80,false,SIN,Asia Pacific,SG,Singapore,176,0.00
54.155.155.196,2086,80,false,DUB,Europe,IE,Dublin,176,0.00
52.18.205.36,2052,80,false,LHR,Europe,GB,London,176,0.00
52.65.99.165,2052,80,false,SYD,Oceania,AU,Sydney,177,0.00
3.70.92.227,2087,80,false,FRA,Europe,DE,Frankfurt,179,0.00
3.70.92.227,2052,80,false,FRA,Europe,DE,Frankfurt,180,0.00
13.236.104.165,2082,80,false,SYD,Oceania,AU,Sydney,180,0.00
54.66.80.167,2082,80,false,SYD,Oceania,AU,Sydney,180,0.00
13.51.138.200,2053,80,false,ARN,Europe,SE,Stockholm,181,0.00
13.113.64.249,8080,80,false,NRT,Asia Pacific,JP,Tokyo,181,0.00
54.150.75.95,2095,80,false,NRT,Asia Pacific,JP,Tokyo,181,0.00
54.79.197.209,2083,80,false,SYD,Oceania,AU,Sydney,182,0.00
54.79.190.249,2053,80,false,SYD,Oceania,AU,Sydney,182,0.00
35.78.28.183,2095,80,false,NRT,Asia Pacific,JP,Tokyo,182,0.00
13.211.0.227,2096,80,false,SYD,Oceania,AU,Sydney,182,0.00
99.80.238.19,2053,80,false,LHR,Europe,GB,London,182,0.00
13.51.138.200,2082,80,false,ARN,Europe,SE,Stockholm,182,0.00
3.6.136.68,80,8080,false,BOM,Asia Pacific,IN,Mumbai,183,0.00
54.79.197.209,2096,80,false,SYD,Oceania,AU,Sydney,183,0.00
3.68.62.122,80,80,false,FRA,Europe,DE,Frankfurt,184,0.00
54.79.197.209,2053,80,false,SYD,Oceania,AU,Sydney,185,0.00
13.51.138.200,2095,80,false,ARN,Europe,SE,Stockholm,185,0.00
3.10.116.213,80,80,false,LHR,Europe,GB,London,186,0.00
54.79.190.249,2086,80,false,SYD,Oceania,AU,Sydney,186,0.00
52.18.205.36,2082,80,false,LHR,Europe,GB,London,187,0.00
3.69.0.8,80,80,false,FRA,Europe,DE,Frankfurt,187,0.00
13.51.138.200,2086,80,false,ARN,Europe,SE,Stockholm,187,0.00
54.79.176.136,2095,80,false,SYD,Oceania,AU,Sydney,187,0.00
99.80.238.19,2082,80,false,LHR,Europe,GB,London,188,0.00
3.66.115.225,80,80,false,FRA,Europe,DE,Frankfurt,188,0.00
54.153.146.155,2087,80,false,SYD,Oceania,AU,Sydney,189,0.00
65.0.144.242,2082,80,false,BOM,Asia Pacific,IN,Mumbai,190,0.00
13.51.138.200,2096,80,false,ARN,Europe,SE,Stockholm,190,0.00
13.51.138.200,2083,80,false,ARN,Europe,SE,Stockholm,190,0.00
51.92.10.146,2083,80,false,MAD,Europe,ES,Madrid,192,0.00
54.155.155.196,2052,80,false,DUB,Europe,IE,Dublin,193,0.00
35.78.28.183,2086,80,false,NRT,Asia Pacific,JP,Tokyo,193,0.00
52.18.205.36,2096,80,false,LHR,Europe,GB,London,194,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,JP,Tokyo,195,0.00
51.92.10.146,2096,80,false,MAD,Europe,ES,Madrid,197,0.00
51.92.10.146,2052,80,false,MAD,Europe,ES,Madrid,198,0.00
52.65.99.165,2087,80,false,SYD,Oceania,AU,Sydney,198,0.00
13.37.165.175,2053,80,false,CDG,Europe,FR,Paris,199,0.00
51.92.10.146,2086,80,false,MAD,Europe,ES,Madrid,200,0.00
54.252.91.41,2053,80,false,SYD,Oceania,AU,Sydney,201,0.00
54.79.197.209,2087,80,false,SYD,Oceania,AU,Sydney,202,0.00
54.177.71.208,80,8080,false,SJC,North America,US,San Jose,203,0.00
13.54.173.154,2087,80,false,SYD,Oceania,AU,Sydney,204,0.00
13.36.63.124,2082,80,false,CDG,Europe,FR,Paris,204,0.00
54.155.155.196,2087,80,false,DUB,Europe,IE,Dublin,205,0.00
3.70.92.227,2095,80,false,FRA,Europe,DE,Frankfurt,206,0.00
54.252.91.41,2096,80,false,SYD,Oceania,AU,Sydney,206,0.00
35.78.28.183,2053,80,false,NRT,Asia Pacific,JP,Tokyo,208,0.00
54.252.91.41,2095,80,false,SYD,Oceania,AU,Sydney,208,0.00
52.65.99.165,2053,80,false,SYD,Oceania,AU,Sydney,209,0.00
99.80.238.19,2087,80,false,LHR,Europe,GB,London,209,0.00
13.54.173.154,2083,80,false,SYD,Oceania,AU,Sydney,213,0.00
54.253.222.7,2087,80,false,SYD,Oceania,AU,Sydney,214,0.00
54.253.222.7,2096,80,false,SYD,Oceania,AU,Sydney,214,0.00
54.252.91.41,2083,80,false,SYD,Oceania,AU,Sydney,216,0.00
50.112.212.129,80,8080,false,SEA,North America,US,Seattle,218,0.00
35.89.64.180,443,443,true,YVR,North America,CA,Vancouver,218,0.00
54.253.222.7,2083,80,false,SYD,Oceania,AU,Sydney,219,0.00
13.237.94.188,2096,80,false,SYD,Oceania,AU,Sydney,219,0.00
54.252.91.41,2086,80,false,SYD,Oceania,AU,Sydney,220,0.00
13.236.104.165,2053,80,false,SYD,Oceania,AU,Sydney,220,0.00
54.213.241.206,80,8080,false,PDX,North America,US,Portland,220,0.00
52.33.8.219,80,80,false,PDX,North America,US,Portland,220,0.00
35.91.15.80,443,443,true,YVR,North America,CA,Vancouver,220,0.00
54.155.155.196,2095,80,false,DUB,Europe,IE,Dublin,221,0.00
54.253.222.7,2053,80,false,SYD,Oceania,AU,Sydney,221,0.00
54.213.92.168,80,8080,false,PDX,North America,US,Portland,221,0.00
35.90.177.126,443,443,true,YVR,North America,CA,Vancouver,221,0.00
54.253.222.7,2095,80,false,SYD,Oceania,AU,Sydney,221,0.00
54.202.239.245,80,80,false,SEA,North America,US,Seattle,222,0.00
52.64.153.64,2052,80,false,SYD,Oceania,AU,Sydney,223,0.00
35.90.184.41,443,443,true,YVR,North America,CA,Vancouver,224,0.00
34.251.2.62,443,443,true,DUB,Europe,IE,Dublin,227,0.00
54.212.93.229,80,80,false,PDX,North America,US,Portland,227,0.00
44.231.140.156,80,80,false,SEA,North America,US,Seattle,227,0.00
44.224.255.188,80,80,false,SEA,North America,US,Seattle,230,0.00
44.239.189.120,80,80,false,PDX,North America,US,Portland,232,0.00
13.55.59.224,2083,80,false,SYD,Oceania,AU,Sydney,234,0.00
52.64.153.64,2053,80,false,SYD,Oceania,AU,Sydney,235,0.00
54.254.190.97,2052,80,false,SIN,Asia Pacific,SG,Singapore,238,0.00
47.130.47.224,443,443,true,SIN,Asia Pacific,SG,Singapore,241,0.00
3.97.1.47,2052,80,false,YUL,North America,CA,Montréal,243,0.00
35.92.170.9,443,443,true,YVR,North America,CA,Vancouver,243,0.00
13.55.59.224,2082,80,false,SYD,Oceania,AU,Sydney,244,0.00
13.236.104.165,2052,80,false,SYD,Oceania,AU,Sydney,247,0.00
54.252.91.41,2082,80,false,SYD,Oceania,AU,Sydney,247,0.00
54.253.222.7,2082,80,false,SYD,Oceania,AU,Sydney,248,0.00
3.96.246.140,2053,80,false,YUL,North America,CA,Montréal,248,0.00
13.236.104.165,2096,80,false,SYD,Oceania,AU,Sydney,249,0.00
54.253.222.7,2052,80,false,SYD,Oceania,AU,Sydney,252,0.00
3.96.246.140,2082,80,false,YUL,North America,CA,Montréal,253,0.00
52.60.241.195,2082,80,false,YUL,North America,CA,Montréal,254,0.00
3.96.246.140,2095,80,false,YUL,North America,CA,Montréal,254,0.00
3.97.1.47,2096,80,false,YUL,North America,CA,Montréal,255,0.00
3.97.1.47,2087,80,false,YUL,North America,CA,Montréal,255,0.00
3.96.246.140,2086,80,false,YUL,North America,CA,Montréal,255,0.00
3.96.246.140,2087,80,false,YUL,North America,CA,Montréal,256,0.00
3.97.1.47,2053,80,false,YUL,North America,CA,Montréal,257,0.00
35.90.176.176,443,443,true,YVR,North America,CA,Vancouver,257,0.00
3.96.246.140,2052,80,false,YUL,North America,CA,Montréal,258,0.00
99.80.238.19,2083,80,false,LHR,Europe,GB,London,259,0.00
54.150.91.84,443,443,true,NRT,Asia Pacific,JP,Tokyo,260,0.00
3.96.246.140,2096,80,false,YUL,North America,CA,Montréal,260,0.00
54.252.91.41,2087,80,false,SYD,Oceania,AU,Sydney,260,0.00
52.18.205.36,2095,80,false,LHR,Europe,GB,London,263,0.00
54.241.63.172,80,80,false,SJC,North America,US,San Jose,263,0.00
3.96.246.140,2083,80,false,YUL,North America,CA,Montréal,265,0.00
99.79.195.241,80,80,false,YUL,North America,CA,Montréal,265,0.00
3.97.1.47,2083,80,false,YUL,North America,CA,Montréal,265,0.00
3.97.1.47,2086,80,false,YUL,North America,CA,Montréal,267,0.00
13.236.104.165,2095,80,false,SYD,Oceania,AU,Sydney,267,0.00
52.60.241.195,2095,80,false,YUL,North America,CA,Montréal,269,0.00
54.213.94.219,80,8080,false,PDX,North America,US,Portland,280,0.00
52.60.241.195,2086,80,false,YUL,North America,CA,Montréal,282,0.00
3.97.1.47,2082,80,false,YUL,North America,CA,Montréal,283,0.00
13.245.152.196,2082,80,false,CPT,Africa,ZA,Cape Town,294,0.00
13.246.85.121,2082,80,false,CPT,Africa,ZA,Cape Town,296,0.00
13.246.85.121,2095,80,false,CPT,Africa,ZA,Cape Town,297,0.00
52.29.224.33,80,80,false,FRA,Europe,DE,Frankfurt,300,0.00
13.246.186.216,8080,80,false,CPT,Africa,ZA,Cape Town,300,0.00
13.246.85.121,2083,80,false,CPT,Africa,ZA,Cape Town,303,0.00
13.245.152.196,2096,80,false,CPT,Africa,ZA,Cape Town,305,0.00
52.60.241.195,2053,80,false,YUL,North America,CA,Montréal,305,0.00
13.246.85.121,2087,80,false,CPT,Africa,ZA,Cape Town,307,0.00
52.60.241.195,2096,80,false,YUL,North America,CA,Montréal,308,0.00
13.230.34.30,80,80,false,NRT,Asia Pacific,JP,Tokyo,309,0.00
35.91.154.1,443,443,true,PDX,North America,US,Portland,311,0.00
35.92.163.8,443,443,true,YVR,North America,CA,Vancouver,312,0.00
13.246.85.121,2053,80,false,CPT,Africa,ZA,Cape Town,313,0.00
52.59.122.226,2096,443,true,FRA,Europe,DE,Frankfurt,314,0.00
54.193.81.187,443,443,true,SJC,North America,US,San Jose,315,0.00
35.89.65.118,443,443,true,YVR,North America,CA,Vancouver,318,0.00
13.245.152.196,2053,80,false,CPT,Africa,ZA,Cape Town,318,0.00
3.97.1.47,2095,80,false,YUL,North America,CA,Montréal,318,0.00
52.60.241.195,2087,80,false,YUL,North America,CA,Montréal,320,0.00
13.245.152.196,2086,80,false,CPT,Africa,ZA,Cape Town,320,0.00
54.207.211.29,2087,80,false,GRU,South America,BR,São Paulo,332,0.00
13.246.85.121,2086,80,false,CPT,Africa,ZA,Cape Town,335,0.00
54.207.253.122,2083,80,false,GRU,South America,BR,São Paulo,339,0.00
35.88.132.19,443,443,true,YVR,North America,CA,Vancouver,340,0.00
54.207.253.122,2095,80,false,GRU,South America,BR,São Paulo,344,0.00
54.233.145.43,80,80,false,GRU,South America,BR,São Paulo,347,0.00
54.207.253.122,2087,80,false,GRU,South America,BR,São Paulo,349,0.00
54.207.211.29,2086,80,false,GRU,South America,BR,São Paulo,350,0.00
35.88.132.66,443,443,true,YVR,North America,CA,Vancouver,364,0.00
54.207.234.93,80,80,false,GRU,South America,BR,São Paulo,368,0.00
52.60.241.195,2052,80,false,YUL,North America,CA,Montréal,408,0.00
52.60.241.195,2083,80,false,YUL,North America,CA,Montréal,425,0.00
54.94.181.99,2087,80,false,GRU,South America,BR,São Paulo,448,0.00
